Nome,Categoria,Em Home,Observações,Parent,Prioridade,Status,Tipo,URL
Alaska Quest System,Gamificação,No,,Gamificação,,Revisar,Página,https://www.notion.so/29e40b88141881a28bbdc291cca56244
Team Leaderboard,Gamificação,No,,Gamificação,,Revisar,Página,https://www.notion.so/29e40b8814188158a133e5e0563a75d2
Playbooks & Scripts,Processos,No,,Processos,,Revisar,Página,https://www.notion.so/29e40b8814188171bbebc8dd20a7a211
Sistema de Recompensas,Gamificação,No,,Gamificação,,Revisar,Página,https://www.notion.so/29e40b88141881da81cdd9dedfd2501b
"Missão, Visão, Valores",Operacional,No,,DNA Alaska,,Revisar,Página,https://www.notion.so/29e40b88141881cca2a0c0a5ff61d716
Cultura Alaska,Operacional,No,,DNA Alaska,Alta,Revisar,Página,https://www.notion.so/29e40b88141881329a57e7cbbca93bd5
Hall da Fama,Gamificação,No,,Gamificação,,Revisar,Página,https://www.notion.so/29e40b8814188136b282cbf9b77e1004
Seguraça dos documentos e DatasBase,Operacional,No,,,Alta,Revisar,Página,https://www.notion.so/29e40b88141881fdbcefe674ea328fa0
Say my Name - Jornada do Cliente,Processos,No,,Processos,Alta,Revisar,Página,https://www.notion.so/29e40b88141881bebdbcede87adb01aa
Painel de Gerenciamento de Projetos,Projetos,No,,Alaska,,Ativo,Página,https://www.notion.so/29640b881418809e9f1fcb534b2f5018
Projetos em Andamento,Operacional,No,,Mission Control,,Revisar,Página,https://www.notion.so/29e40b88141881929642d2257e153b53
Método 222 - Pós-Venda,Processos,No,,Processos,,Em andamento,Página,https://www.notion.so/29e40b88141881128c4fef2ba72b4e28
Alaska Performance - High Ticket,Comercial,No,,Processos,,Revisar,Página,https://www.notion.so/29e40b88141881aa9d01caa9b953affb
Base de código,Operacional,No,,Mission Control,,Revisar,Página,https://www.notion.so/29e40b88141881f6963ff0f07610426f
Metas do Time,Operacional,No,,Mission Control,,Revisar,Página,https://www.notion.so/29e40b881418813e8547eed89cc92b3f
🛒 Loja Futurista,Frontend,No,,Alaska,,Ativo,Página,https://www.notion.so/9ca8f554a3f349aca7bf55e966dad106
Tarefas — Alaska OS,Tarefas,No,,Alaska,,Ativo,Database,https://www.notion.so/cac5a1f608cb4251bf6e8e41b73a645d
Projetos — Alaska OS,Projetos,No,,Alaska,,Ativo,Database,https://www.notion.so/380753b363cc467dbe3afc63e9c10be6
👤 Personas do time,Pessoas,No,,Alaska,Alta,Ativo,Database,https://www.notion.so/29e40b881418818c9d8ec7654b946693
Implementação WorkSpace interativo Premium,Processos,No,,Alaska,,Ativo,Página,https://www.notion.so/29f40b88141881d3a85ff41e2228fb00
Financeiro — Alaska OS,Financeiro,No,,Alaska,,Ativo,Database,https://www.notion.so/1678a91d1b584f57b2c85a498ce392f6
Ideias,Ideias,No,,Alaska,,Ativo,Database,https://www.notion.so/27140b881418810e994ac2e2f67a6a0b
Processos — Alaska OS,Processos,No,,Alaska,,Ativo,Database,https://www.notion.so/ddf2924233b6403aa32564de825b4bde
ALASKA 2.0 - Mission Control,Ideias,No,,Ideias,,Em andamento,Página,https://www.notion.so/29e40b88141880dea72ec4b47e500f57
Clientes — Alaska OS,Clientes,Yes,,Alaska,,Ativo,Database,https://www.notion.so/Clientes-Alaska-OS-ef680eb4da10444c9c8414d48869cf5b?v=8ff10d2ef1aa4692bbb3fc65c11530b8&source=copy_link#29f40b88141880a192d1e038ac662bfc
Mercado de Recompensas,Gamificação,No,,Alaska,,Ativo,Database,https://www.notion.so/29e40b88141881da9f75f8a8800fba7b